LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,Year,Labor Force,Employed,Unemployed,Unemployment Rate (%)
CN0100100000000,1,1,"Autauga County, AL",2021,"26,682","25,949",733,2.7
CN0100300000000,1,3,"Baldwin County, AL",2021,"107,386","104,485","2,901",2.7
CN0100500000000,1,5,"Barbour County, AL",2021,"9,048","8,591",457,5.1
CN0100700000000,1,7,"Bibb County, AL",2021,"8,636","8,345",291,3.4
CN0100900000000,1,9,"Blount County, AL",2021,"25,760","25,173",587,2.3
CN0101100000000,1,11,"Bullock County, AL",2021,"4,099","3,918",181,4.4
CN0101300000000,1,13,"Butler County, AL",2021,"7,976","7,533",443,5.6
CN0101500000000,1,15,"Calhoun County, AL",2021,"49,657","47,806","1,851",3.7
CN0101700000000,1,17,"Chambers County, AL",2021,"17,054","16,488",566,3.3
CN0101900000000,1,19,"Cherokee County, AL",2021,"9,998","9,717",281,2.8
CN0102100000000,1,21,"Chilton County, AL",2021,"19,017","18,464",553,2.9
CN0102300000000,1,23,"Choctaw County, AL",2021,"4,561","4,368",193,4.2
CN0102500000000,1,25,"Clarke County, AL",2021,"8,498","8,056",442,5.2
CN0102700000000,1,27,"Clay County, AL",2021,"5,958","5,793",165,2.8
CN0102900000000,1,29,"Cleburne County, AL",2021,"5,850","5,702",148,2.5
CN0103100000000,1,31,"Coffee County, AL",2021,"22,638","22,043",595,2.6
CN0103300000000,1,33,"Colbert County, AL",2021,"25,078","24,162",916,3.7
CN0103500000000,1,35,"Conecuh County, AL",2021,"3,991","3,789",202,5.1
CN0103700000000,1,37,"Coosa County, AL",2021,"4,208","4,080",128,3.0
CN0103900000000,1,39,"Covington County, AL",2021,"15,180","14,728",452,3.0
CN0104100000000,1,41,"Crenshaw County, AL",2021,"5,455","5,261",194,3.6
CN0104300000000,1,43,"Cullman County, AL",2021,"38,091","37,183",908,2.4
CN0104500000000,1,45,"Dale County, AL",2021,"18,438","17,791",647,3.5
CN0104700000000,1,47,"Dallas County, AL",2021,"14,905","13,918",987,6.6
CN0104900000000,1,49,"DeKalb County, AL",2021,"31,279","30,512",767,2.5
CN0105100000000,1,51,"Elmore County, AL",2021,"39,958","38,936","1,022",2.6
CN0105300000000,1,53,"Escambia County, AL",2021,"12,725","12,162",563,4.4
CN0105500000000,1,55,"Etowah County, AL",2021,"41,331","39,779","1,552",3.8
CN0105700000000,1,57,"Fayette County, AL",2021,"6,610","6,411",199,3.0
CN0105900000000,1,59,"Franklin County, AL",2021,"13,695","13,341",354,2.6
CN0106100000000,1,61,"Geneva County, AL",2021,"11,124","10,824",300,2.7
CN0106300000000,1,63,"Greene County, AL",2021,"2,371","2,183",188,7.9
CN0106500000000,1,65,"Hale County, AL",2021,"5,362","5,040",322,6.0
CN0106700000000,1,67,"Henry County, AL",2021,"7,570","7,354",216,2.9
CN0106900000000,1,69,"Houston County, AL",2021,"46,869","45,322","1,547",3.3
CN0107100000000,1,71,"Jackson County, AL",2021,"20,297","19,646",651,3.2
CN0107300000000,1,73,"Jefferson County, AL",2021,"314,147","302,965","11,182",3.6
CN0107500000000,1,75,"Lamar County, AL",2021,"5,235","5,070",165,3.2
CN0107700000000,1,77,"Lauderdale County, AL",2021,"41,379","40,076","1,303",3.1
CN0107900000000,1,79,"Lawrence County, AL",2021,"14,959","14,549",410,2.7
CN0108100000000,1,81,"Lee County, AL",2021,"82,258","80,088","2,170",2.6
CN0108300000000,1,83,"Limestone County, AL",2021,"49,997","48,868","1,129",2.3
CN0108500000000,1,85,"Lowndes County, AL",2021,"3,967","3,656",311,7.8
CN0108700000000,1,87,"Macon County, AL",2021,"7,740","7,274",466,6.0
CN0108900000000,1,89,"Madison County, AL",2021,"198,980","193,951","5,029",2.5
CN0109100000000,1,91,"Marengo County, AL",2021,"7,344","7,032",312,4.2
CN0109300000000,1,93,"Marion County, AL",2021,"12,714","12,347",367,2.9
CN0109500000000,1,95,"Marshall County, AL",2021,"42,271","41,228","1,043",2.5
CN0109700000000,1,97,"Mobile County, AL",2021,"182,858","174,216","8,642",4.7
CN0109900000000,1,99,"Monroe County, AL",2021,"7,106","6,712",394,5.5
CN0110100000000,1,101,"Montgomery County, AL",2021,"101,436","96,498","4,938",4.9
CN0110300000000,1,103,"Morgan County, AL",2021,"56,518","55,015","1,503",2.7
CN0110500000000,1,105,"Perry County, AL",2021,"2,564","2,317",247,9.6
CN0110700000000,1,107,"Pickens County, AL",2021,"6,536","6,255",281,4.3
CN0110900000000,1,109,"Pike County, AL",2021,"15,138","14,642",496,3.3
CN0111100000000,1,111,"Randolph County, AL",2021,"8,305","8,056",249,3.0
CN0111300000000,1,113,"Russell County, AL",2021,"22,561","21,861",700,3.1
CN0111500000000,1,115,"St. Clair County, AL",2021,"42,630","41,570","1,060",2.5
