LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,Year,Labor Force,Employed,Unemployed,Unemployment Rate (%)
CN0100100000000,1,1,"Autauga County, AL",2023,"27,741","27,150",591,2.1
CN0100300000000,1,3,"Baldwin County, AL",2023,"113,078","110,639","2,439",2.2
CN0100500000000,1,5,"Barbour County, AL",2023,"8,660","8,315",345,4.0
CN0100700000000,1,7,"Bibb County, AL",2023,"8,582","8,376",206,2.4
CN0100900000000,1,9,"Blount County, AL",2023,"26,501","25,963",538,2.0
CN0101100000000,1,11,"Bullock County, AL",2023,"4,075","3,971",104,2.6
CN0101300000000,1,13,"Butler County, AL",2023,"8,099","7,857",242,3.0
CN0101500000000,1,15,"Calhoun County, AL",2023,"49,200","47,940","1,260",2.6
CN0101700000000,1,17,"Chambers County, AL",2023,"17,388","17,008",380,2.2
CN0101900000000,1,19,"Cherokee County, AL",2023,"10,185","9,919",266,2.6
CN0102100000000,1,21,"Chilton County, AL",2023,"19,775","19,340",435,2.2
CN0102300000000,1,23,"Choctaw County, AL",2023,"4,223","4,062",161,3.8
CN0102500000000,1,25,"Clarke County, AL",2023,"8,284","7,931",353,4.3
CN0102700000000,1,27,"Clay County, AL",2023,"5,868","5,727",141,2.4
CN0102900000000,1,29,"Cleburne County, AL",2023,"6,213","6,075",138,2.2
CN0103100000000,1,31,"Coffee County, AL",2023,"23,019","22,480",539,2.3
CN0103300000000,1,33,"Colbert County, AL",2023,"25,500","24,802",698,2.7
CN0103500000000,1,35,"Conecuh County, AL",2023,"3,903","3,765",138,3.5
CN0103700000000,1,37,"Coosa County, AL",2023,"4,385","4,278",107,2.4
CN0103900000000,1,39,"Covington County, AL",2023,"14,931","14,533",398,2.7
CN0104100000000,1,41,"Crenshaw County, AL",2023,"5,475","5,323",152,2.8
CN0104300000000,1,43,"Cullman County, AL",2023,"39,100","38,280",820,2.1
CN0104500000000,1,45,"Dale County, AL",2023,"18,690","18,173",517,2.8
CN0104700000000,1,47,"Dallas County, AL",2023,"14,500","13,795",705,4.9
CN0104900000000,1,49,"DeKalb County, AL",2023,"31,489","30,810",679,2.2
CN0105100000000,1,51,"Elmore County, AL",2023,"41,556","40,711",845,2.0
CN0105300000000,1,53,"Escambia County, AL",2023,"12,980","12,538",442,3.4
CN0105500000000,1,55,"Etowah County, AL",2023,"41,287","40,238","1,049",2.5
CN0105700000000,1,57,"Fayette County, AL",2023,"6,561","6,382",179,2.7
CN0105900000000,1,59,"Franklin County, AL",2023,"13,526","13,175",351,2.6
CN0106100000000,1,61,"Geneva County, AL",2023,"11,400","11,135",265,2.3
CN0106300000000,1,63,"Greene County, AL",2023,"2,318","2,192",126,5.4
CN0106500000000,1,65,"Hale County, AL",2023,"5,484","5,295",189,3.4
CN0106700000000,1,67,"Henry County, AL",2023,"7,841","7,658",183,2.3
CN0106900000000,1,69,"Houston County, AL",2023,"47,815","46,607","1,208",2.5
CN0107100000000,1,71,"Jackson County, AL",2023,"20,774","20,205",569,2.7
CN0107300000000,1,73,"Jefferson County, AL",2023,"315,591","307,836","7,755",2.5
CN0107500000000,1,75,"Lamar County, AL",2023,"5,266","5,112",154,2.9
CN0107700000000,1,77,"Lauderdale County, AL",2023,"42,608","41,518","1,090",2.6
CN0107900000000,1,79,"Lawrence County, AL",2023,"15,444","15,116",328,2.1
CN0108100000000,1,81,"Lee County, AL",2023,"86,901","85,004","1,897",2.2
CN0108300000000,1,83,"Limestone County, AL",2023,"54,870","53,802","1,068",1.9
CN0108500000000,1,85,"Lowndes County, AL",2023,"3,755","3,602",153,4.1
CN0108700000000,1,87,"Macon County, AL",2023,"7,478","7,224",254,3.4
CN0108900000000,1,89,"Madison County, AL",2023,"212,890","208,580","4,310",2.0
CN0109100000000,1,91,"Marengo County, AL",2023,"7,336","7,095",241,3.3
CN0109300000000,1,93,"Marion County, AL",2023,"12,870","12,495",375,2.9
CN0109500000000,1,95,"Marshall County, AL",2023,"43,867","42,937",930,2.1
CN0109700000000,1,97,"Mobile County, AL",2023,"182,894","177,263","5,631",3.1
CN0109900000000,1,99,"Monroe County, AL",2023,"6,662","6,387",275,4.1
CN0110100000000,1,101,"Montgomery County, AL",2023,"101,089","98,174","2,915",2.9
CN0110300000000,1,103,"Morgan County, AL",2023,"58,530","57,326","1,204",2.1
CN0110500000000,1,105,"Perry County, AL",2023,"2,351","2,220",131,5.6
CN0110700000000,1,107,"Pickens County, AL",2023,"6,749","6,543",206,3.1
CN0110900000000,1,109,"Pike County, AL",2023,"15,231","14,809",422,2.8
CN0111100000000,1,111,"Randolph County, AL",2023,"8,523","8,297",226,2.7
CN0111300000000,1,113,"Russell County, AL",2023,"22,710","22,087",623,2.7
CN0111500000000,1,115,"St. Clair County, AL",2023,"44,781","43,878",903,2.0
CN0111700000000,1,117,"Shelby County, AL",2023,"121,097","118,867","2,230",1.8
CN0111900000000,1,119,"Sumter County, AL",2023,"4,524","4,366",158,3.5
CN0112100000000,1,121,"Talladega County, AL",2023,"34,686","33,705",981,2.8
CN0112300000000,1,123,"Tallapoosa County, AL",2023,"15,993","15,573",420,2.6
CN0112500000000,1,125,"Tuscaloosa County, AL",2023,"110,122","107,448","2,674",2.4
CN0112700000000,1,127,"Walker County, AL",2023,"26,710","26,060",650,2.4
CN0112900000000,1,129,"Washington County, AL",2023,"8,105","7,890",215,2.7
CN0113100000000,1,131,"Wilcox County, AL",2023,"3,415","3,224",191,5.6
CN0113300000000,1,133,"Winston County, AL",2023,"9,605","9,351",254,2.6
CN0201300000000,2,13,"Aleutians East Borough, AK",2023,"2,433","2,379",54,2.2
CN0201600000000,2,16,"Aleutians West Census Area, AK",2023,"3,464","3,364",100,2.9
CN0202000000000,2,20,"Anchorage Borough/municipality, AK",2023,"147,706","142,531","5,175",3.5
CN0205000000000,2,50,"Bethel Census Area, AK",2023,"6,657","6,009",648,9.7
CN0206000000000,2,60,"Bristol Bay Borough, AK",2023,525,507,18,3.4
CN0206300000000,2,63,"Chugach Census Area, AK",2023,"3,974","3,811",163,4.1
CN0206600000000,2,66,"Copper River Census Area, AK",2023,"1,316","1,214",102,7.8
CN0206800000000,2,68,"Denali Borough, AK",2023,"1,231","1,175",56,4.5
