LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,Year,Labor Force,Employed,Unemployed,Unemployment Rate (%)
CN1805300000000,18,53,"Grant County, IN",2024,"30,396","28,949","1,447",4.8
CN1805500000000,18,55,"Greene County, IN",2024,"14,464","13,808",656,4.5
CN1805700000000,18,57,"Hamilton County, IN",2024,"207,699","200,792","6,907",3.3
CN1805900000000,18,59,"Hancock County, IN",2024,"47,260","45,620","1,640",3.5
CN1806100000000,18,61,"Harrison County, IN",2024,"19,890","19,134",756,3.8
CN1806300000000,18,63,"Hendricks County, IN",2024,"102,783","99,277","3,506",3.4
CN1806500000000,18,65,"Henry County, IN",2024,"22,055","21,136",919,4.2
CN1806700000000,18,67,"Howard County, IN",2024,"36,783","34,251","2,532",6.9
CN1806900000000,18,69,"Huntington County, IN",2024,"18,953","18,222",731,3.9
CN1807100000000,18,71,"Jackson County, IN",2024,"23,401","22,589",812,3.5
CN1807300000000,18,73,"Jasper County, IN",2024,"16,862","16,142",720,4.3
CN1807500000000,18,75,"Jay County, IN",2024,"9,459","9,107",352,3.7
CN1807700000000,18,77,"Jefferson County, IN",2024,"15,316","14,709",607,4.0
CN1807900000000,18,79,"Jennings County, IN",2024,"14,994","14,422",572,3.8
CN1808100000000,18,81,"Johnson County, IN",2024,"88,578","85,433","3,145",3.6
CN1808300000000,18,83,"Knox County, IN",2024,"17,868","17,142",726,4.1
CN1808500000000,18,85,"Kosciusko County, IN",2024,"40,368","38,558","1,810",4.5
CN1808700000000,18,87,"LaGrange County, IN",2024,"18,466","17,730",736,4.0
CN1808900000000,18,89,"Lake County, IN",2024,"239,357","225,608","13,749",5.7
CN1809100000000,18,91,"LaPorte County, IN",2024,"51,753","49,320","2,433",4.7
CN1809300000000,18,93,"Lawrence County, IN",2024,"21,480","20,505",975,4.5
CN1809500000000,18,95,"Madison County, IN",2024,"64,269","61,566","2,703",4.2
CN1809700000000,18,97,"Marion County, IN",2024,"512,930","491,338","21,592",4.2
CN1809900000000,18,99,"Marshall County, IN",2024,"22,762","21,794",968,4.3
CN1810100000000,18,101,"Martin County, IN",2024,"5,145","4,971",174,3.4
CN1810300000000,18,103,"Miami County, IN",2024,"16,017","15,211",806,5.0
CN1810500000000,18,105,"Monroe County, IN",2024,"75,041","72,195","2,846",3.8
CN1810700000000,18,107,"Montgomery County, IN",2024,"19,985","19,299",686,3.4
CN1810900000000,18,109,"Morgan County, IN",2024,"37,398","35,941","1,457",3.9
CN1811100000000,18,111,"Newton County, IN",2024,"6,736","6,436",300,4.5
CN1811300000000,18,113,"Noble County, IN",2024,"22,173","21,220",953,4.3
CN1811500000000,18,115,"Ohio County, IN",2024,"2,979","2,858",121,4.1
CN1811700000000,18,117,"Orange County, IN",2024,"9,415","9,030",385,4.1
CN1811900000000,18,119,"Owen County, IN",2024,"10,741","10,297",444,4.1
CN1812100000000,18,121,"Parke County, IN",2024,"6,985","6,685",300,4.3
CN1812300000000,18,123,"Perry County, IN",2024,"8,586","8,259",327,3.8
CN1812500000000,18,125,"Pike County, IN",2024,"5,458","5,228",230,4.2
CN1812700000000,18,127,"Porter County, IN",2024,"87,969","84,034","3,935",4.5
CN1812900000000,18,129,"Posey County, IN",2024,"12,345","11,906",439,3.6
CN1813100000000,18,131,"Pulaski County, IN",2024,"6,853","6,602",251,3.7
CN1813300000000,18,133,"Putnam County, IN",2024,"16,834","16,145",689,4.1
CN1813500000000,18,135,"Randolph County, IN",2024,"12,078","11,568",510,4.2
CN1813700000000,18,137,"Ripley County, IN",2024,"14,746","14,175",571,3.9
CN1813900000000,18,139,"Rush County, IN",2024,"8,288","7,974",314,3.8
CN1814100000000,18,141,"St. Joseph County, IN",2024,"129,888","123,534","6,354",4.9
CN1814300000000,18,143,"Scott County, IN",2024,"10,417","9,919",498,4.8
CN1814500000000,18,145,"Shelby County, IN",2024,"23,330","22,460",870,3.7
CN1814700000000,18,147,"Spencer County, IN",2024,"10,160","9,754",406,4.0
CN1814900000000,18,149,"Starke County, IN",2024,"9,372","8,872",500,5.3
CN1815100000000,18,151,"Steuben County, IN",2024,"17,335","16,609",726,4.2
CN1815300000000,18,153,"Sullivan County, IN",2024,"9,227","8,839",388,4.2
CN1815500000000,18,155,"Switzerland County, IN",2024,"4,077","3,887",190,4.7
CN1815700000000,18,157,"Tippecanoe County, IN",2024,"100,966","97,146","3,820",3.8
CN1815900000000,18,159,"Tipton County, IN",2024,"7,976","7,634",342,4.3
CN1816100000000,18,161,"Union County, IN",2024,"4,083","3,959",124,3.0
CN1816300000000,18,163,"Vanderburgh County, IN",2024,"89,994","86,375","3,619",4.0
CN1816500000000,18,165,"Vermillion County, IN",2024,"7,132","6,788",344,4.8
CN1816700000000,18,167,"Vigo County, IN",2024,"49,168","46,981","2,187",4.4
CN1816900000000,18,169,"Wabash County, IN",2024,"14,783","14,164",619,4.2
CN1817100000000,18,171,"Warren County, IN",2024,"4,623","4,460",163,3.5
CN1817300000000,18,173,"Warrick County, IN",2024,"33,477","32,260","1,217",3.6
CN1817500000000,18,175,"Washington County, IN",2024,"14,174","13,628",546,3.9
CN1817700000000,18,177,"Wayne County, IN",2024,"30,976","29,612","1,364",4.4
CN1817900000000,18,179,"Wells County, IN",2024,"15,127","14,603",524,3.5
CN1818100000000,18,181,"White County, IN",2024,"11,426","10,952",474,4.1
CN1818300000000,18,183,"Whitley County, IN",2024,"18,080","17,405",675,3.7
CN1900100000000,19,1,"Adair County, IA",2024,"4,396","4,280",116,2.6
CN1900300000000,19,3,"Adams County, IA",2024,"1,746","1,703",43,2.5
CN1900500000000,19,5,"Allamakee County, IA",2024,"7,495","7,209",286,3.8
CN1900700000000,19,7,"Appanoose County, IA",2024,"5,182","4,990",192,3.7
CN1900900000000,19,9,"Audubon County, IA",2024,"3,230","3,158",72,2.2
CN1901100000000,19,11,"Benton County, IA",2024,"13,676","13,266",410,3.0
CN1901300000000,19,13,"Black Hawk County, IA",2024,"68,213","65,726","2,487",3.6
CN1901500000000,19,15,"Boone County, IA",2024,"14,884","14,497",387,2.6
CN1901700000000,19,17,"Bremer County, IA",2024,"13,292","12,913",379,2.9
CN1901900000000,19,19,"Buchanan County, IA",2024,"10,997","10,641",356,3.2
CN1902100000000,19,21,"Buena Vista County, IA",2024,"11,173","10,883",290,2.6
CN1902300000000,19,23,"Butler County, IA",2024,"7,412","7,164",248,3.3
CN1902500000000,19,25,"Calhoun County, IA",2024,"4,455","4,340",115,2.6
CN1902700000000,19,27,"Carroll County, IA",2024,"10,968","10,737",231,2.1
CN1902900000000,19,29,"Cass County, IA",2024,"6,823","6,637",186,2.7
CN1903100000000,19,31,"Cedar County, IA",2024,"10,054","9,755",299,3.0
CN1903300000000,19,33,"Cerro Gordo County, IA",2024,"22,200","21,550",650,2.9
CN1903500000000,19,35,"Cherokee County, IA",2024,"6,457","6,311",146,2.3
CN1903700000000,19,37,"Chickasaw County, IA",2024,"7,088","6,905",183,2.6
CN1903900000000,19,39,"Clarke County, IA",2024,"5,027","4,886",141,2.8
CN1904100000000,19,41,"Clay County, IA",2024,"8,798","8,515",283,3.2
CN1904300000000,19,43,"Clayton County, IA",2024,"9,033","8,693",340,3.8
CN1904500000000,19,45,"Clinton County, IA",2024,"21,730","20,884",846,3.9
CN1904700000000,19,47,"Crawford County, IA",2024,"8,366","8,020",346,4.1
CN1904900000000,19,49,"Dallas County, IA",2024,"64,488","62,789","1,699",2.6
CN1905100000000,19,51,"Davis County, IA",2024,"4,544","4,423",121,2.7
CN1905300000000,19,53,"Decatur County, IA",2024,"3,566","3,462",104,2.9
CN1905500000000,19,55,"Delaware County, IA",2024,"10,157","9,873",284,2.8
CN1905700000000,19,57,"Des Moines County, IA",2024,"18,400","17,686",714,3.9
CN1905900000000,19,59,"Dickinson County, IA",2024,"9,864","9,562",302,3.1
CN1906100000000,19,61,"Dubuque County, IA",2024,"53,513","51,764","1,749",3.3
CN1906300000000,19,63,"Emmet County, IA",2024,"4,421","4,272",149,3.4
CN1906500000000,19,65,"Fayette County, IA",2024,"9,984","9,655",329,3.3
CN1906700000000,19,67,"Floyd County, IA",2024,"7,828","7,557",271,3.5
CN1906900000000,19,69,"Franklin County, IA",2024,"4,861","4,709",152,3.1
CN1907100000000,19,71,"Fremont County, IA",2024,"3,391","3,280",111,3.3
CN1907300000000,19,73,"Greene County, IA",2024,"4,540","4,419",121,2.7
CN1907500000000,19,75,"Grundy County, IA",2024,"6,735","6,541",194,2.9
CN1907700000000,19,77,"Guthrie County, IA",2024,"5,876","5,707",169,2.9
CN1907900000000,19,79,"Hamilton County, IA",2024,"7,759","7,574",185,2.4
CN1908100000000,19,81,"Hancock County, IA",2024,"5,674","5,541",133,2.3
CN1908300000000,19,83,"Hardin County, IA",2024,"8,599","8,362",237,2.8
CN1908500000000,19,85,"Harrison County, IA",2024,"7,756","7,563",193,2.5
CN1908700000000,19,87,"Henry County, IA",2024,"8,456","8,207",249,2.9
CN1908900000000,19,89,"Howard County, IA",2024,"5,306","5,136",170,3.2
CN1909100000000,19,91,"Humboldt County, IA",2024,"4,880","4,746",134,2.7
CN1909300000000,19,93,"Ida County, IA",2024,"3,529","3,438",91,2.6
CN1909500000000,19,95,"Iowa County, IA",2024,"8,766","8,488",278,3.2
CN1909700000000,19,97,"Jackson County, IA",2024,"10,081","9,706",375,3.7
CN1909900000000,19,99,"Jasper County, IA",2024,"19,465","18,875",590,3.0
CN1910100000000,19,101,"Jefferson County, IA",2024,"7,913","7,653",260,3.3
CN1910300000000,19,103,"Johnson County, IA",2024,"87,750","85,682","2,068",2.4
CN1910500000000,19,105,"Jones County, IA",2024,"10,493","10,109",384,3.7
CN1910700000000,19,107,"Keokuk County, IA",2024,"5,285","5,118",167,3.2
CN1910900000000,19,109,"Kossuth County, IA",2024,"7,915","7,724",191,2.4
CN1911100000000,19,111,"Lee County, IA",2024,"14,593","14,063",530,3.6
CN1911300000000,19,113,"Linn County, IA",2024,"122,030","117,934","4,096",3.4
CN1911500000000,19,115,"Louisa County, IA",2024,"5,568","5,397",171,3.1
CN1911700000000,19,117,"Lucas County, IA",2024,"4,061","3,942",119,2.9
CN1911900000000,19,119,"Lyon County, IA",2024,"6,508","6,359",149,2.3
CN1912100000000,19,121,"Madison County, IA",2024,"9,674","9,392",282,2.9
CN1912300000000,19,123,"Mahaska County, IA",2024,"12,283","11,986",297,2.4
CN1912500000000,19,125,"Marion County, IA",2024,"18,867","18,419",448,2.4
CN1912700000000,19,127,"Marshall County, IA",2024,"19,498","18,378","1,120",5.7
CN1912900000000,19,129,"Mills County, IA",2024,"7,237","7,004",233,3.2
CN1913100000000,19,131,"Mitchell County, IA",2024,"5,543","5,413",130,2.3
CN1913300000000,19,133,"Monona County, IA",2024,"4,465","4,344",121,2.7
CN1913500000000,19,135,"Monroe County, IA",2024,"3,805","3,686",119,3.1
CN1913700000000,19,137,"Montgomery County, IA",2024,"5,267","5,142",125,2.4
CN1913900000000,19,139,"Muscatine County, IA",2024,"20,702","19,986",716,3.5
CN1914100000000,19,141,"O'Brien County, IA",2024,"7,736","7,556",180,2.3
CN1914300000000,19,143,"Osceola County, IA",2024,"3,600","3,530",70,1.9
CN1914500000000,19,145,"Page County, IA",2024,"7,689","7,493",196,2.5
CN1914700000000,19,147,"Palo Alto County, IA",2024,"4,991","4,868",123,2.5
CN1914900000000,19,149,"Plymouth County, IA",2024,"14,172","13,836",336,2.4
CN1915100000000,19,151,"Pocahontas County, IA",2024,"3,473","3,374",99,2.9
CN1915300000000,19,153,"Polk County, IA",2024,"283,313","274,640","8,673",3.1
CN1915500000000,19,155,"Pottawattamie County, IA",2024,"46,827","45,377","1,450",3.1
CN1915700000000,19,157,"Poweshiek County, IA",2024,"9,886","9,618",268,2.7
CN1915900000000,19,159,"Ringgold County, IA",2024,"2,343","2,283",60,2.6
CN1916100000000,19,161,"Sac County, IA",2024,"5,033","4,878",155,3.1
CN1916300000000,19,163,"Scott County, IA",2024,"90,111","86,764","3,347",3.7
CN1916500000000,19,165,"Shelby County, IA",2024,"6,225","6,067",158,2.5
CN1916700000000,19,167,"Sioux County, IA",2024,"22,373","21,925",448,2.0
CN1916900000000,19,169,"Story County, IA",2024,"54,691","53,417","1,274",2.3
CN1917100000000,19,171,"Tama County, IA",2024,"8,474","8,106",368,4.3
CN1917300000000,19,173,"Taylor County, IA",2024,"3,283","3,217",66,2.0
CN1917500000000,19,175,"Union County, IA",2024,"5,989","5,812",177,3.0
CN1917700000000,19,177,"Van Buren County, IA",2024,"3,380","3,280",100,3.0
CN1917900000000,19,179,"Wapello County, IA",2024,"17,084","16,467",617,3.6
CN1918100000000,19,181,"Warren County, IA",2024,"30,343","29,518",825,2.7
CN1918300000000,19,183,"Washington County, IA",2024,"12,152","11,861",291,2.4
CN1918500000000,19,185,"Wayne County, IA",2024,"3,453","3,366",87,2.5
CN1918700000000,19,187,"Webster County, IA",2024,"17,604","17,053",551,3.1
CN1918900000000,19,189,"Winnebago County, IA",2024,"5,598","5,460",138,2.5
CN1919100000000,19,191,"Winneshiek County, IA",2024,"11,930","11,587",343,2.9
CN1919300000000,19,193,"Woodbury County, IA",2024,"56,085","54,404","1,681",3.0
CN1919500000000,19,195,"Worth County, IA",2024,"4,427","4,315",112,2.5
CN1919700000000,19,197,"Wright County, IA",2024,"6,208","6,058",150,2.4
CN2000100000000,20,1,"Allen County, KS",2024,"6,060","5,818",242,4.0
CN2000300000000,20,3,"Anderson County, KS",2024,"3,778","3,650",128,3.4
CN2000500000000,20,5,"Atchison County, KS",2024,"8,107","7,795",312,3.8
CN2000700000000,20,7,"Barber County, KS",2024,"2,092","2,029",63,3.0
CN2000900000000,20,9,"Barton County, KS",2024,"12,370","11,934",436,3.5
CN2001100000000,20,11,"Bourbon County, KS",2024,"6,012","5,688",324,5.4
CN2001300000000,20,13,"Brown County, KS",2024,"4,016","3,848",168,4.2
CN2001500000000,20,15,"Butler County, KS",2024,"34,730","33,462","1,268",3.7
CN2001700000000,20,17,"Chase County, KS",2024,"1,106","1,063",43,3.9
CN2001900000000,20,19,"Chautauqua County, KS",2024,"1,361","1,304",57,4.2
CN2002100000000,20,21,"Cherokee County, KS",2024,"9,369","9,036",333,3.6
CN2002300000000,20,23,"Cheyenne County, KS",2024,"1,294","1,253",41,3.2
CN2002500000000,20,25,"Clark County, KS",2024,"1,048","1,019",29,2.8
CN2002700000000,20,27,"Clay County, KS",2024,"3,955","3,817",138,3.5
CN2002900000000,20,29,"Cloud County, KS",2024,"4,569","4,429",140,3.1
CN2003100000000,20,31,"Coffey County, KS",2024,"3,810","3,654",156,4.1
CN2003300000000,20,33,"Comanche County, KS",2024,877,851,26,3.0
CN2003500000000,20,35,"Cowley County, KS",2024,"15,282","14,620",662,4.3
CN2003700000000,20,37,"Crawford County, KS",2024,"19,698","18,933",765,3.9
CN2003900000000,20,39,"Decatur County, KS",2024,"1,454","1,409",45,3.1
CN2004100000000,20,41,"Dickinson County, KS",2024,"9,260","8,901",359,3.9
CN2004300000000,20,43,"Doniphan County, KS",2024,"3,793","3,650",143,3.8
CN2004500000000,20,45,"Douglas County, KS",2024,"71,347","69,021","2,326",3.3
CN2004700000000,20,47,"Edwards County, KS",2024,"1,418","1,372",46,3.2
CN2004900000000,20,49,"Elk County, KS",2024,"1,030",986,44,4.3
CN2005100000000,20,51,"Ellis County, KS",2024,"17,073","16,579",494,2.9
CN2005300000000,20,53,"Ellsworth County, KS",2024,"2,754","2,648",106,3.8
CN2005500000000,20,55,"Finney County, KS",2024,"20,877","20,291",586,2.8
CN2005700000000,20,57,"Ford County, KS",2024,"18,009","17,503",506,2.8
CN2005900000000,20,59,"Franklin County, KS",2024,"14,181","13,639",542,3.8
CN2006100000000,20,61,"Geary County, KS",2024,"13,290","12,714",576,4.3
CN2006300000000,20,63,"Gove County, KS",2024,"1,187","1,146",41,3.5
CN2006500000000,20,65,"Graham County, KS",2024,"1,194","1,150",44,3.7
CN2006700000000,20,67,"Grant County, KS",2024,"2,967","2,860",107,3.6
CN2006900000000,20,69,"Gray County, KS",2024,"3,135","3,056",79,2.5
CN2007100000000,20,71,"Greeley County, KS",2024,635,616,19,3.0
CN2007300000000,20,73,"Greenwood County, KS",2024,"2,908","2,802",106,3.6
CN2007500000000,20,75,"Hamilton County, KS",2024,"1,351","1,314",37,2.7
CN2007700000000,20,77,"Harper County, KS",2024,"2,580","2,485",95,3.7
CN2007900000000,20,79,"Harvey County, KS",2024,"17,835","17,089",746,4.2
CN2008100000000,20,81,"Haskell County, KS",2024,"1,743","1,688",55,3.2
CN2008300000000,20,83,"Hodgeman County, KS",2024,934,905,29,3.1
CN2008500000000,20,85,"Jackson County, KS",2024,"6,934","6,699",235,3.4
CN2008700000000,20,87,"Jefferson County, KS",2024,"9,963","9,609",354,3.6
CN2008900000000,20,89,"Jewell County, KS",2024,"1,218","1,169",49,4.0
CN2009100000000,20,91,"Johnson County, KS",2024,"360,344","348,553","11,791",3.3
CN2009300000000,20,93,"Kearny County, KS",2024,"1,773","1,719",54,3.0
CN2009500000000,20,95,"Kingman County, KS",2024,"4,021","3,908",113,2.8
CN2009700000000,20,97,"Kiowa County, KS",2024,"1,188","1,150",38,3.2
CN2009900000000,20,99,"Labette County, KS",2024,"9,526","9,165",361,3.8
CN2010100000000,20,101,"Lane County, KS",2024,668,644,24,3.6
CN2010300000000,20,103,"Leavenworth County, KS",2024,"37,636","36,224","1,412",3.8
CN2010500000000,20,105,"Lincoln County, KS",2024,"1,422","1,361",61,4.3
CN2010700000000,20,107,"Linn County, KS",2024,"4,792","4,556",236,4.9
CN2010900000000,20,109,"Logan County, KS",2024,"1,466","1,426",40,2.7
CN2011100000000,20,111,"Lyon County, KS",2024,"17,748","17,158",590,3.3
CN2011300000000,20,113,"McPherson County, KS",2024,"17,366","16,866",500,2.9
CN2011500000000,20,115,"Marion County, KS",2024,"6,006","5,780",226,3.8
CN2011700000000,20,117,"Marshall County, KS",2024,"5,039","4,877",162,3.2
CN2011900000000,20,119,"Meade County, KS",2024,"1,951","1,895",56,2.9
CN2012100000000,20,121,"Miami County, KS",2024,"18,803","18,145",658,3.5
CN2012300000000,20,123,"Mitchell County, KS",2024,"2,650","2,551",99,3.7
CN2012500000000,20,125,"Montgomery County, KS",2024,"14,547","13,974",573,3.9
CN2012700000000,20,127,"Morris County, KS",2024,"2,889","2,802",87,3.0
CN2012900000000,20,129,"Morton County, KS",2024,"1,158","1,116",42,3.6
CN2013100000000,20,131,"Nemaha County, KS",2024,"5,535","5,392",143,2.6
CN2013300000000,20,133,"Neosho County, KS",2024,"7,731","7,447",284,3.7
CN2013500000000,20,135,"Ness County, KS",2024,"1,478","1,438",40,2.7
CN2013700000000,20,137,"Norton County, KS",2024,"2,343","2,274",69,2.9
CN2013900000000,20,139,"Osage County, KS",2024,"8,117","7,814",303,3.7
CN2014100000000,20,141,"Osborne County, KS",2024,"1,675","1,617",58,3.5
CN2014300000000,20,143,"Ottawa County, KS",2024,"3,035","2,941",94,3.1
CN2014500000000,20,145,"Pawnee County, KS",2024,"2,847","2,758",89,3.1
CN2014700000000,20,147,"Phillips County, KS",2024,"2,388","2,316",72,3.0
CN2014900000000,20,149,"Pottawatomie County, KS",2024,"13,632","13,221",411,3.0
CN2015100000000,20,151,"Pratt County, KS",2024,"4,523","4,381",142,3.1
CN2015300000000,20,153,"Rawlins County, KS",2024,"1,400","1,363",37,2.6
CN2015500000000,20,155,"Reno County, KS",2024,"29,464","28,367","1,097",3.7
CN2015700000000,20,157,"Republic County, KS",2024,"2,381","2,313",68,2.9
CN2015900000000,20,159,"Rice County, KS",2024,"4,774","4,613",161,3.4
CN2016100000000,20,161,"Riley County, KS",2024,"37,316","36,147","1,169",3.1
CN2016300000000,20,163,"Rooks County, KS",2024,"2,415","2,332",83,3.4
CN2016500000000,20,165,"Rush County, KS",2024,"1,621","1,562",59,3.6
CN2016700000000,20,167,"Russell County, KS",2024,"3,167","3,038",129,4.1
CN2016900000000,20,169,"Saline County, KS",2024,"28,904","27,928",976,3.4
CN2017100000000,20,171,"Scott County, KS",2024,"2,372","2,299",73,3.1
CN2017300000000,20,173,"Sedgwick County, KS",2024,"273,618","262,880","10,738",3.9
CN2017500000000,20,175,"Seward County, KS",2024,"10,936","10,603",333,3.0
CN2017700000000,20,177,"Shawnee County, KS",2024,"90,380","86,961","3,419",3.8
CN2017900000000,20,179,"Sheridan County, KS",2024,"1,486","1,450",36,2.4
CN2018100000000,20,181,"Sherman County, KS",2024,"3,029","2,930",99,3.3
CN2018300000000,20,183,"Smith County, KS",2024,"1,800","1,745",55,3.1
CN2018500000000,20,185,"Stafford County, KS",2024,"2,005","1,946",59,2.9
CN2018700000000,20,187,"Stanton County, KS",2024,929,901,28,3.0
CN2018900000000,20,189,"Stevens County, KS",2024,"2,656","2,553",103,3.9
CN2019100000000,20,191,"Sumner County, KS",2024,"10,792","10,372",420,3.9
CN2019300000000,20,193,"Thomas County, KS",2024,"4,423","4,309",114,2.6
CN2019500000000,20,195,"Trego County, KS",2024,"1,427","1,376",51,3.6
CN2019700000000,20,197,"Wabaunsee County, KS",2024,"3,608","3,471",137,3.8
CN2019900000000,20,199,"Wallace County, KS",2024,711,687,24,3.4
CN2020100000000,20,201,"Washington County, KS",2024,"2,608","2,525",83,3.2
CN2020300000000,20,203,"Wichita County, KS",2024,"1,140","1,107",33,2.9
CN2020500000000,20,205,"Wilson County, KS",2024,"3,759","3,603",156,4.2
CN2020700000000,20,207,"Woodson County, KS",2024,"1,318","1,252",66,5.0
CN2020900000000,20,209,"Wyandotte County, KS",2024,"82,455","78,948","3,507",4.3
CN2100100000000,21,1,"Adair County, KY",2024,"8,136","7,693",443,5.4
CN2100300000000,21,3,"Allen County, KY",2024,"10,002","9,533",469,4.7
CN2100500000000,21,5,"Anderson County, KY",2024,"11,568","11,011",557,4.8
CN2100700000000,21,7,"Ballard County, KY",2024,"3,424","3,238",186,5.4
CN2100900000000,21,9,"Barren County, KY",2024,"18,065","17,051","1,014",5.6
CN2101100000000,21,11,"Bath County, KY",2024,"5,064","4,714",350,6.9
CN2101300000000,21,13,"Bell County, KY",2024,"7,507","6,987",520,6.9
