LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,Year,Labor Force,Employed,Unemployed,Unemployment Rate (%)
CN0100100000000,1,1,"Autauga County, AL",2022,"27,067","26,473",594,2.2
CN0100300000000,1,3,"Baldwin County, AL",2022,"110,609","108,220","2,389",2.2
CN0100500000000,1,5,"Barbour County, AL",2022,"8,942","8,619",323,3.6
CN0100700000000,1,7,"Bibb County, AL",2022,"8,566","8,360",206,2.4
CN0100900000000,1,9,"Blount County, AL",2022,"26,328","25,778",550,2.1
CN0101100000000,1,11,"Bullock County, AL",2022,"4,045","3,921",124,3.1
CN0101300000000,1,13,"Butler County, AL",2022,"7,959","7,680",279,3.5
CN0101500000000,1,15,"Calhoun County, AL",2022,"49,279","47,934","1,345",2.7
CN0101700000000,1,17,"Chambers County, AL",2022,"17,146","16,748",398,2.3
CN0101900000000,1,19,"Cherokee County, AL",2022,"10,073","9,822",251,2.5
CN0102100000000,1,21,"Chilton County, AL",2022,"19,464","19,022",442,2.3
CN0102300000000,1,23,"Choctaw County, AL",2022,"4,365","4,209",156,3.6
CN0102500000000,1,25,"Clarke County, AL",2022,"8,440","8,082",358,4.2
CN0102700000000,1,27,"Clay County, AL",2022,"6,026","5,889",137,2.3
CN0102900000000,1,29,"Cleburne County, AL",2022,"6,097","5,956",141,2.3
CN0103100000000,1,31,"Coffee County, AL",2022,"22,728","22,200",528,2.3
CN0103300000000,1,33,"Colbert County, AL",2022,"25,230","24,530",700,2.8
CN0103500000000,1,35,"Conecuh County, AL",2022,"3,867","3,730",137,3.5
CN0103700000000,1,37,"Coosa County, AL",2022,"4,305","4,202",103,2.4
CN0103900000000,1,39,"Covington County, AL",2022,"15,093","14,711",382,2.5
CN0104100000000,1,41,"Crenshaw County, AL",2022,"5,325","5,174",151,2.8
CN0104300000000,1,43,"Cullman County, AL",2022,"38,759","37,960",799,2.1
CN0104500000000,1,45,"Dale County, AL",2022,"18,514","17,990",524,2.8
CN0104700000000,1,47,"Dallas County, AL",2022,"14,688","14,024",664,4.5
CN0104900000000,1,49,"DeKalb County, AL",2022,"31,327","30,638",689,2.2
CN0105100000000,1,51,"Elmore County, AL",2022,"40,564","39,725",839,2.1
CN0105300000000,1,53,"Escambia County, AL",2022,"12,806","12,378",428,3.3
CN0105500000000,1,55,"Etowah County, AL",2022,"41,015","39,892","1,123",2.7
CN0105700000000,1,57,"Fayette County, AL",2022,"6,556","6,388",168,2.6
CN0105900000000,1,59,"Franklin County, AL",2022,"13,878","13,554",324,2.3
CN0106100000000,1,61,"Geneva County, AL",2022,"11,270","11,014",256,2.3
CN0106300000000,1,63,"Greene County, AL",2022,"2,290","2,179",111,4.8
CN0106500000000,1,65,"Hale County, AL",2022,"5,326","5,105",221,4.1
CN0106700000000,1,67,"Henry County, AL",2022,"7,731","7,548",183,2.4
CN0106900000000,1,69,"Houston County, AL",2022,"47,343","46,159","1,184",2.5
CN0107100000000,1,71,"Jackson County, AL",2022,"20,496","19,936",560,2.7
CN0107300000000,1,73,"Jefferson County, AL",2022,"314,359","306,374","7,985",2.5
CN0107500000000,1,75,"Lamar County, AL",2022,"5,214","5,068",146,2.8
CN0107700000000,1,77,"Lauderdale County, AL",2022,"41,990","40,895","1,095",2.6
CN0107900000000,1,79,"Lawrence County, AL",2022,"15,155","14,818",337,2.2
CN0108100000000,1,81,"Lee County, AL",2022,"84,450","82,590","1,860",2.2
CN0108300000000,1,83,"Limestone County, AL",2022,"52,421","51,414","1,007",1.9
CN0108500000000,1,85,"Lowndes County, AL",2022,"3,802","3,629",173,4.6
CN0108700000000,1,87,"Macon County, AL",2022,"7,513","7,218",295,3.9
CN0108900000000,1,89,"Madison County, AL",2022,"205,280","201,085","4,195",2.0
CN0109100000000,1,91,"Marengo County, AL",2022,"7,367","7,124",243,3.3
CN0109300000000,1,93,"Marion County, AL",2022,"13,046","12,725",321,2.5
CN0109500000000,1,95,"Marshall County, AL",2022,"42,953","42,060",893,2.1
CN0109700000000,1,97,"Mobile County, AL",2022,"182,728","176,839","5,889",3.2
CN0109900000000,1,99,"Monroe County, AL",2022,"7,016","6,740",276,3.9
CN0110100000000,1,101,"Montgomery County, AL",2022,"100,403","97,271","3,132",3.1
CN0110300000000,1,103,"Morgan County, AL",2022,"57,460","56,235","1,225",2.1
CN0110500000000,1,105,"Perry County, AL",2022,"2,411","2,267",144,6.0
CN0110700000000,1,107,"Pickens County, AL",2022,"6,652","6,434",218,3.3
CN0110900000000,1,109,"Pike County, AL",2022,"15,095","14,677",418,2.8
CN0111100000000,1,111,"Randolph County, AL",2022,"8,470","8,247",223,2.6
CN0111300000000,1,113,"Russell County, AL",2022,"22,644","22,061",583,2.6
CN0111500000000,1,115,"St. Clair County, AL",2022,"43,682","42,786",896,2.1
CN0111700000000,1,117,"Shelby County, AL",2022,"118,627","116,482","2,145",1.8
CN0111900000000,1,119,"Sumter County, AL",2022,"4,506","4,356",150,3.3
CN0112100000000,1,121,"Talladega County, AL",2022,"34,245","33,183","1,062",3.1
CN0112300000000,1,123,"Tallapoosa County, AL",2022,"15,972","15,493",479,3.0
CN0112500000000,1,125,"Tuscaloosa County, AL",2022,"106,955","104,221","2,734",2.6
CN0112700000000,1,127,"Walker County, AL",2022,"26,426","25,757",669,2.5
CN0112900000000,1,129,"Washington County, AL",2022,"5,824","5,605",219,3.8
CN0113100000000,1,131,"Wilcox County, AL",2022,"3,432","3,246",186,5.4
CN0113300000000,1,133,"Winston County, AL",2022,"9,944","9,707",237,2.4
CN0201300000000,2,13,"Aleutians East Borough, AK",2022,"2,343","2,293",50,2.1
CN0201600000000,2,16,"Aleutians West Census Area, AK",2022,"3,322","3,217",105,3.2
CN0202000000000,2,20,"Anchorage Borough/municipality, AK",2022,"147,108","141,814","5,294",3.6
CN0205000000000,2,50,"Bethel Census Area, AK",2022,"6,622","6,012",610,9.2
CN0206000000000,2,60,"Bristol Bay Borough, AK",2022,480,461,19,4.0
CN0206300000000,2,63,"Chugach Census Area, AK",2022,"3,896","3,795",101,2.6
CN0206600000000,2,66,"Copper River Census Area, AK",2022,"1,313","1,181",132,10.1
CN0206800000000,2,68,"Denali Borough, AK",2022,"1,158","1,098",60,5.2
CN0207000000000,2,70,"Dillingham Census Area, AK",2022,"1,662","1,567",95,5.7
CN0209000000000,2,90,"Fairbanks North Star Borough, AK",2022,"44,708","42,998","1,710",3.8
CN0210000000000,2,100,"Haines Borough, AK",2022,823,755,68,8.3
CN0210500000000,2,105,"Hoonah-Angoon Census Area, AK",2022,"1,301","1,227",74,5.7
